Question,Answer
"Code: import andes
import os

script_dir = os.getcwd()
case = os.path.join(script_dir, 'ieee39_base.xlsx')

ssa = andes.load(case,
                setup=False,
                no_output=True,
                default_config=False)

# setup the case and call the power flow calculation
ssa.setup()
ssa.PFlow.run()

print(""PV Bus Active Power"", ssa.PV.p.v)
print(""PV Bus Reactive Power"", ssa.PV.q.v)
print(""Slack Bus Active Power"", ssa.Slack.p.v)
print(""Slack Bus Reactive Power"", ssa.Slack.q.v)
print(""Bus Voltages"", ssa.Bus.v.v)
print(""Bus Angles"", ssa.Bus.a.v)

print(""Phase Angle of the From Bus"", ssa.Line.a1.e)
print(""Shape of ssa.Line.a1.e:"", ssa.Line.a1.e.shape)
print(""ssa.Line.a1.e via get():"", ssa.Line.get(src='a1', idx= ssa.Line.idx.v, attr='e'))
print(""Phase Angle of the To Bus"", ssa.Line.a2.e)


# Run a power-flow simulation and display key results for the PV buses, Slack bus, system buses, and transmission lines.
                Code Output: STDERR:
error: file ""/home/chen541/ANDES_Data/PowerFlow_Specific/ieee39_base.xlsx"" does not exist.
No valid case found.
Traceback (most recent call last):
  File ""/home/chen541/ANDES_Data/PowerFlow_Specific/code_examples/powerflow-ex1.py"", line 13, in <module>
    ssa.setup()
    ^^^^^^^^^
AttributeError: 'NoneType' object has no attribute 'setup'

ERROR conda.cli.main_run:execute(125): `conda run python code_examples/powerflow-ex1.py` failed. (See above for error)

Return Code: 1","The provided script is intended to:

  1. Import the ANDES power‐flow library and point it at an IEEE-39-bus case stored in “ieee39_base.xlsx.”  
  2. Build and run a steady‐state power‐flow.  
  3. Print out for the PV buses: real (P) and reactive (Q) injections; for the slack bus: P and Q; for all buses: voltage magnitudes (v) and angles (a); and for each line: the sending‐end and receiving‐end phase‐angle (a1.e and a2.e).

However, when you run it:

  • ANDES reports that “ieee39_base.xlsx” cannot be found in the current working directory.  
  • As a result, `andes.load(...)` returns None.  
  • The next line, `ssa.setup()`, then raises an AttributeError (`'NoneType' object has no attribute 'setup'`).  
  • No power‐flow is executed, and no electrical quantities (P, Q, voltages, angles) are ever computed or printed.

Key takeaways for an EE user:

  – Make sure the case file path is correct (or that “ieee39_base.xlsx” actually exists in your working folder).  
  – Because the load failed early, none of the intended power‐flow results (PV injections, slack injections, bus voltages/angles, line phase angles) are available.  
  – You’ll need to resolve the missing‐file error before you can get any numerical output from the PV, slack or bus/line quantities."
"Code: import andes
import os

script_dir = os.getcwd()
case = os.path.join(script_dir, 'ieee39_base.xlsx')

ssa = andes.load(case,
                setup=True,
                no_output=True,
                default_config=False)

# call the power flow calculation
ssa.PFlow.run()

print(""PV Bus Active Power"", ssa.PV.p.v)
print(""PV Bus Reactive Power"", ssa.PV.q.v)
print(""Slack Bus Active Power"", ssa.Slack.p.v)
print(""Slack Bus Reactive Power"", ssa.Slack.q.v)
print(""Bus Voltages"", ssa.Bus.v.v)
print(""Bus Angles"", ssa.Bus.a.v)


# Load the IEEE 39-bus case, run a power-flow simulation, and display key results for the PV buses, Slack bus, and all system buses.
                Code Output: STDERR:
error: file ""/home/chen541/ANDES_Data/PowerFlow_Specific/ieee39_base.xlsx"" does not exist.
No valid case found.
Traceback (most recent call last):
  File ""/home/chen541/ANDES_Data/PowerFlow_Specific/code_examples/powerflow-ex2.py"", line 13, in <module>
    ssa.PFlow.run()
    ^^^^^^^^^
AttributeError: 'NoneType' object has no attribute 'PFlow'

ERROR conda.cli.main_run:execute(125): `conda run python code_examples/powerflow-ex2.py` failed. (See above for error)

Return Code: 1","The provided Python script is intended to:

  1. Import the ANDES power‐flow library.
  2. Locate and load an IEEE 39‐bus network case from an Excel file named “ieee39_base.xlsx” in the current working directory.
  3. Run a steady‐state power‐flow (`PFlow.run()`).
  4. Print out:
     – Active and reactive power at all PV buses  
     – Active and reactive power at the Slack bus  
     – Voltage magnitudes and angles at every bus  

However, in the actual run:

  • ANDES reports that it cannot find the file:  
      “/home/chen541/ANDES_Data/PowerFlow_Specific/ieee39_base.xlsx”  
    → “No valid case found.”  
  • As a result, `andes.load(...)` returns `None` (no network loaded).  
  • The script then attempts `ssa.PFlow.run()`, causing an `AttributeError` because `ssa` is `None`.  
  • The script terminates with a Python traceback and return code 1.  

Key takeaways for an electrical engineer:  
  – Before running the power‐flow, ensure the IEEE 39‐bus case file exists at the specified path (or correct the path).  
  – A missing or unreadable input file will cause `andes.load` to fail silently (returning `None`), leading to subsequent attribute errors.  
  – Once the file issue is resolved, the same code structure will yield bus voltages, angles, PV‐bus P/Q, and Slack‐bus P/Q directly from the ANDES objects."
"Code: import andes

ssa = andes.load(
    andes.get_case('ieee39/ieee39.xlsx'),
    setup=False,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

# Add new load
ssa.add(model=""PQ"", param_dict=dict(bus=2, 
                                    idx=""PQ_20"", 
                                    p0=0.5, 
                                    q0=0.2
                                    ))

# Add new generator
ssa.add(model=""PV"", param_dict=dict(bus=15, 
                                    idx='15', 
                                    p0=0.5, 
                                    q0=0.2,
                                    pmax=5,
                                    pmin=0,
                                    qmax=2,
                                    qmin=-2,
                                    v0=1.0,
                                    ))

ssa.setup()
ssa.PFlow.run()


# Load the IEEE 39-bus case, add a new load and a new PV generator, then set up and run a power-flow simulation.
                Code Output: No Output Generated","The script you ran performs exactly the following steps:

1. It loads the IEEE 39-bus test system via ANDES, but delays the usual automatic setup and suppresses any printed output.  
2. It injects a new constant‐power (PQ) load on bus 2 of 0.5 p.u. real‐power and 0.2 p.u. reactive‐power.  
3. It injects a new PV generator at bus 15 with:  
   • P₀ = 0.5 p.u. (MW)  
   • Q₀ = 0.2 p.u. (MVar)  
   • Pmin = 0, Pmax = 5 p.u.  
   • Qmin = –2, Qmax = 2 p.u.  
   • Voltage setpoint V₀ = 1.0 pu  
4. It calls `ssa.setup()` to build the network equations and then runs an AC power-flow with `ssa.PFlow.run()`.  

Because `no_output=True`, the routine completes silently—there is no console report of voltages, flows or mismatches. However, the solved power-flow state is stored internally in the `ssa` object. To examine your results, you can now do things like:

   • `ssa.Bus.Vm` and `ssa.Bus.Va`  → bus voltage magnitudes and angles  
   • `ssa.Branch.Pf/Pt`            → real-power flows from “from” and “to” ends  
   • `ssa.PFlow.mismatch`          → final real/reactive mismatches  

In summary, the code successfully integrated your 0.5 p.u. PQ load at bus 2 and 0.5 p.u. PV source at bus 15 into the IEEE-39 network and solved the AC power flow, but printed nothing to screen. You can now query the `ssa` data structures to retrieve voltages, line flows and other quantities of interest."
"Code: import andes
import numpy as np

ssa = andes.load(
    andes.get_case('ieee39/ieee39.xlsx'),
    setup=False,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

ssa.setup()

# Scale up (perturb) the voltage states of both p0 and q0 by 10%. 
ssa.PQ.set(
            src='p0', 
            idx= ssa.PQ.idx.v, 
            attr='v',
            value=1.1 * ssa.PQ.p0.v
        )

ssa.PQ.set(
            src='q0', 
            idx= ssa.PQ.idx.v, 
            attr='v',
            value=1.1 * ssa.PQ.q0.v
        )

ssa.PFlow.run()

print(""PQ.p0.v After Scaling:"", ssa.PQ.p0.v)
print(""PQ.q0.v After Scaling:"", ssa.PQ.q0.v)


# Load the IEEE 39-bus case, scale the active and reactive power demands of all PQ loads by 10%, then run a power-flow simulation and display the updated values.

                Code Output: STDOUT:
PQ.p0.v After Scaling: [6.6    4.95   2.5718 5.742  1.32   3.52   3.6234 1.738  7.48   3.014
 2.7225 3.3946 2.464  1.529  3.091  2.266  3.1185 0.88   4.4   ]
PQ.q0.v After Scaling: [ 2.75    2.024   9.24    1.936   0.33    1.683   3.553   0.33    1.133
  1.265   0.9306 -1.0142  0.5192  0.187   0.8305  0.3036  1.3959  0.44
  2.75  ]","The script loads the IEEE‐39 bus case, scales the initial PQ‐load demands (p0 and q0) by +10 % and then re‐runs a power‐flow. There are 19 PQ buses in the system, so after scaling you get:

  • Scaled active‐power demands (PQ.p0.v, in MW):  
    [6.6, 4.95, 2.5718, 5.742, 1.32, 3.52, 3.6234, 1.738, 7.48,  
     3.014, 2.7225, 3.3946, 2.464, 1.529, 3.091, 2.266, 3.1185, 0.88, 4.4]

  • Scaled reactive‐power demands (PQ.q0.v, in MVAr):  
    [2.75, 2.024, 9.24, 1.936, 0.33, 1.683, 3.553, 0.33, 1.133,  
     1.265, 0.9306, –1.0142, 0.5192, 0.187, 0.8305, 0.3036, 1.3959, 0.44, 2.75]

Key points for an EE audience:  
  1. The 19‐element arrays correspond one‐to‐one with the PQ buses in the IEEE-39 case.  
  2. Each entry is the original p0 or q0 value multiplied by 1.1 (e.g. 6.0 MW→6.6 MW, 2.5 MVAr→2.75 MVAr).  
  3. Running `ssa.PFlow.run()` does not alter these demand values; it simply solves for network voltages, currents and generation dispatch given the new (10 % higher) loads."
"Code: import andes
import numpy as np

ssa = andes.load(
    andes.get_case('ieee39/ieee39.xlsx'),
    setup=True,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

# Scale up (perturb) the voltage states of both p0 and q0 by 10%. 
ssa.PQ.set(
            src='p0', 
            idx= ssa.PQ.idx.v, 
            attr='v',
            value= 1.1 * ssa.PQ.p0.v
        )

ssa.PQ.set(
            src='q0', 
            idx= ssa.PQ.idx.v, 
            attr='v',
            value= 1.1 * ssa.PQ.q0.v
        )

# Change specific load based on idx
# Note: check the case (excel) file to get the correct idx
ssa.PQ.set(
            src='p0', 
            idx= ['PQ_1', 'PQ_10'], 
            attr='v',
            value= np.array([8, 4])
        )

ssa.PQ.set(
            src='q0', 
            idx= ['PQ_1', 'PQ_10'], 
            attr='v',
            value= np.array([2, 1])
        )

ssa.PFlow.run()

print(""PQ.p0.v After Change:"", ssa.PQ.p0.v)
print(""PQ.q0.v After Change:"", ssa.PQ.q0.v)


# Load the IEEE 39-bus case, increase all PQ load active and reactive powers by 10%, modify specific loads by index, then run a power-flow simulation and display the updated values.
                Code Output: STDOUT:
PQ.p0.v After Change: [8.     4.95   2.5718 5.742  1.32   3.52   3.6234 1.738  7.48   4.
 2.7225 3.3946 2.464  1.529  3.091  2.266  3.1185 0.88   4.4   ]
PQ.q0.v After Change: [ 2.      2.024   9.24    1.936   0.33    1.683   3.553   0.33    1.133
  1.      0.9306 -1.0142  0.5192  0.187   0.8305  0.3036  1.3959  0.44
  2.75  ]","The script performs the following steps on the IEEE 39-bus system:

1. Load the case via ANDES and initialize the steady‐state simulator.  
2. Increase every PQ‐load’s active (p0.v) and reactive (q0.v) power by 10%.  
3. Overwrite the active powers at PQ bus “PQ_1” and “PQ_10” to 8 and 4 (per unit or MW on a 100 MVA base), respectively.  
4. Overwrite the reactive powers at those same buses to 2 and 1.  
5. Run a full AC power‐flow.  
6. Print the resulting p0.v and q0.v vectors (one entry per PQ bus, in the order defined in the case).

Final load values after the power-flow:

PQ.p0.v (active powers) =  
[  
 8.0000, 4.9500, 2.5718, 5.7420, 1.3200, 3.5200, 3.6234, 1.7380,  
 7.4800, 4.0000, 2.7225, 3.3946, 2.4640, 1.5290, 3.0910, 2.2660,  
 3.1185, 0.8800, 4.4000  
]

PQ.q0.v (reactive powers) =  
[  
 2.0000, 2.0240, 9.2400, 1.9360, 0.3300, 1.6830, 3.5530, 0.3300,  
 1.1330, 1.0000, 0.9306, –1.0142, 0.5192, 0.1870, 0.8305, 0.3036,  
 1.3959, 0.4400, 2.7500  
]

Key takeaways for an EE engineer:  
• All original PQ loads were uniformly bumped by 10%, except buses 1 and 10, which were manually set to 8 / 2 and 4 / 1.  
• The solver converged to these updated load levels, producing the vectors above.  
• These numbers can now be used for further stability or contingency analyses on the 39-bus network."
"Code: import andes
import numpy as np

ssa = andes.load(
    andes.get_case('ieee39/ieee39.xlsx'),
    setup=False,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

ssa.setup()

# change power reference of PV/Slack bus 

# PV bus
# Note: check the case (excel) file to get the correct idx
# If the idx is number, then use idx= [1, 2] instead of idx= ['1', '2']
ssa.PV.set(
            src='p0', 
            idx= [1, 2], 
            attr='v',
            value= np.array([5, 7])
        )

ssa.PV.set(
            src='q0', 
            idx= [1, 2], 
            attr='v',
            value= np.array([2, 2.5])
        )

ssa.PFlow.run()

print(""PV.p0.v After Change:"", ssa.PV.p0.v)
print(""PV.q0.v After Change:"", ssa.PV.q0.v)


# Load the IEEE 39-bus case, modify the active and reactive power setpoints for selected PV buses, then run a power-flow simulation and display the updated values.
                Code Output: STDOUT:
PV.p0.v After Change: [5.   7.   6.5  6.32 5.08 6.5  5.6  5.4  8.3  1.   1.5  2.   2.5 ]
PV.q0.v After Change: [2.      2.5     4.46722 2.4294  2.29094 3.61684 1.85829 1.5809  1.87815
 0.27003 0.27003 0.27003 0.27003]","Here’s a concise engineer‐focused summary of what the script does and what the printed arrays mean:

1. Case setup  
   • IEEE-39 bus data is loaded (xls file) into ANDES without any defaults.  
   • `ssa.setup()` initializes all network models (lines, loads, machines, etc.).  

2. Manual PV/Slack adjustments  
   • Two PV (or slack) machines, indices 1 and 2, have their set‐point injections overridden:  
     – Active power P₀ ← [5.0, 7.0] (MW)  
     – Reactive power Q₀ ← [2.0, 2.5] (MVAr)  

3. Power‐flow solution  
   • `ssa.PFlow.run()` solves the full AC load‐flow with those P/Q references held fixed at buses 1 & 2, treating the rest of the PV buses in standard PV‐mode (P fixed, V = 1.0 pu unless otherwise specified).  

4. Output arrays (`ssa.PV.p0.v` and `ssa.PV.q0.v`)  
   • There are 13 PV‐type machines (including the slack). After the solution you get:  
     – P array (MW):  
       [5.00, 7.00, 6.50, 6.32, 5.08, 6.50, 5.60, 5.40, 8.30, 1.00, 1.50, 2.00, 2.50]  
       • The first two entries are the user‐set values; the remaining 11 are the machine outputs determined by the load‐flow.  
     – Q array (MVAr):  
       [2.0000, 2.5000, 4.4672, 2.4294, 2.2909, 3.6168, 1.8583, 1.5809, 1.8781, 0.2700, 0.2700, 0.2700, 0.2700]  
       • First two entries match the manual settings.  
       • The repeated 0.2700 at the end suggests those machines hit a reactive limit (e.g. Qmin or Qmax) during the solution.  

Key takeaway for an EE: by overriding P/Q at two PV buses and rerunning a full load‐flow you can see not only the forced‐set points but also how the rest of your generators adjust their injections (particularly their reactive outputs) to meet system voltages and constraints."
"Code: import andes
import numpy as np

ssa = andes.load(
    andes.get_case('ieee39/ieee39.xlsx'),
    setup=True,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

# Slack bus
# Note: check the case (excel) file to get the correct src and idx
ssa.Slack.set(
            src='v0', 
            idx= 10, 
            attr='v',
            value= np.array([1])  # value= 1  works too
        )

ssa.Slack.set(
            src='a0', 
            idx= 10, 
            attr='v',
            value= np.array([0])  # value= 0  works too
        )

ssa.PFlow.run()

print(""Slack.v0.v After Update"", ssa.Slack.v0.v)
print(""Slack.a0.v After Update"", ssa.Slack.a0.v)


# Load the IEEE 39-bus case, update the voltage magnitude and angle setpoints for the Slack bus, then run a power-flow simulation and display the updated values.
                Code Output: STDOUT:
Slack.v0.v After Update [1.]
Slack.a0.v After Update [0.]","The snippet does the following:

1. Loads the IEEE-39 bus test case into ANDES (with power-flow setup enabled, no intermediate printout, custom config).  
2. Designates bus 10 as the slack (swing) bus and explicitly sets its voltage magnitude to 1.0 p.u. and its voltage angle to 0 degrees.  
3. Runs a steady-state (power-flow) solve.  
4. Prints out the slack bus’s final voltage magnitude and angle.

Observed output:
• Slack.v0.v After Update [1.]  
• Slack.a0.v After Update [0.]  

Interpretation for the EE engineer: the specified slack-bus setpoints (1.0 p.u., 0°) were correctly applied and preserved by the power-flow solver. No other bus voltages or angles were displayed."
"Code: import andes

ssa = andes.load(
    andes.get_case('ieee39/ieee39.xlsx'),
    setup=False,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

print(""PQ Table of Case:"", ssa.PQ.as_df())

# Load the IEEE 39-bus case and display the PQ load table as a DataFrame.
                Code Output: STDOUT:
PQ Table of Case:        idx  u   name  bus     Vn     p0     q0  vmax  vmin  owner
uid                                                              
0     PQ_1  1   PQ_1    3  345.0  6.000  2.500   1.2   0.8      1
1     PQ_2  1   PQ_2    4  345.0  4.500  1.840   1.2   0.8      1
2     PQ_3  1   PQ_3    7  345.0  2.338  8.400   1.2   0.8      1
3     PQ_4  1   PQ_4    8  345.0  5.220  1.760   1.2   0.8      1
4     PQ_5  1   PQ_5   12  138.0  1.200  0.300   1.2   0.8      1
5     PQ_6  1   PQ_6   15  345.0  3.200  1.530   1.2   0.8      1
6     PQ_7  1   PQ_7   16  345.0  3.294  3.230   1.2   0.8      1
7     PQ_8  1   PQ_8   18  345.0  1.580  0.300   1.2   0.8      1
8     PQ_9  1   PQ_9   20  138.0  6.800  1.030   1.2   0.8      1
9    PQ_10  1  PQ_10   21  345.0  2.740  1.150   1.2   0.8      1
10   PQ_11  1  PQ_11   23  345.0  2.475  0.846   1.2   0.8      1
11   PQ_12  1  PQ_12   24  345.0  3.086 -0.922   1.2   0.8      1
12   PQ_13  1  PQ_13   25  345.0  2.240  0.472   1.2   0.8      1
13   PQ_14  1  PQ_14   26  345.0  1.390  0.170   1.2   0.8      1
14   PQ_15  1  PQ_15   27  345.0  2.810  0.755   1.2   0.8      1
15   PQ_16  1  PQ_16   28  345.0  2.060  0.276   1.2   0.8      1
16   PQ_17  1  PQ_17   29  345.0  2.835  1.269   1.2   0.8      1
17   PQ_18  1  PQ_18   31   34.5  0.800  0.400   1.2   0.8      1
18   PQ_19  1  PQ_19   39  345.0  4.000  2.500   1.2   0.8      1","The snippet above uses the Andes Python API to load the IEEE-39 (New England) test system from an Excel file and then immediately extract its PQ-load data into a pandas DataFrame without performing any power-flow or dynamic setup. What you see printed is the raw load table (“ssa.PQ”) for all 19 PQ‐type loads in that case. Here are the key points an EE engineer will care about:

 • Number of PQ loads: 19 (indexed 0…18)  
 • Bus locations and nominal voltages (Vn):  
   – 14 loads at 345 kV (buses 3,4,7,8,15,16,18,21,23–29,39)  
   – 2 loads at 138 kV (buses 12 & 20)  
   – 1 load at 34.5 kV (bus 31)  
 • Active‐power demands p0 span 0.8…6.8 MW  
   – Largest P: 6.8 MW at bus 20 (PQ_9)  
   – Smallest P: 0.8 MW at bus 31 (PQ_18)  
 • Reactive‐power demands q0 span –0.922…8.4 MVAr  
   – Largest Q absorption: 8.4 MVAr at bus 7 (PQ_3)  
   – One negative Q (–0.922 MVAr) at bus 24 (PQ_12), i.e. net injection  
 • Voltage‐limit flags (per‐unit): vmax = 1.2 pu; vmin = 0.8 pu (identical for all loads)  
 • All loads share owner ID = 1 (e.g. for subsequent allocation of costs or control rights)

With this table in hand you can immediately inspect load distribution by voltage level, identify heavy loads or reactive sources, and confirm that the standard IEEE-39 voltage‐limit settings (0.8–1.2 pu) are applied uniformly."
"Code: import andes
import pandas as pd


path = ""ieee39_base.xlsx""

# Load all sheets at once as a dict of DataFrames
all_sheets = pd.read_excel(path, sheet_name=None)

print(""Workbook Sheets and Their Column Headers:"")
for sheet_name, df in all_sheets.items():
    print(f""Sheet: {sheet_name}"")
    print(f""Columns: {list(df.columns)}"")
    print(""\n"")


ssa = andes.load(
    path,
    setup=False,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

ssa.setup()
ssa.PFlow.run()


# 1. Load the workbook and list sheets
xls = pd.ExcelFile(""ieee39_base.xlsx"")
sheet_names = xls.sheet_names
first_sheet = sheet_names[0]

# 2. Parse the first sheet to get its column headers
df0 = xls.parse(first_sheet)
headers = df0.columns.tolist()

# 3. Make sure there are at least 7 columns
if len(headers) < 7:
    raise ValueError(f""Sheet '{first_sheet}' Only Has {len(headers)} Columns -- Can't Get the 7th Header"")

# 4. Get the 7th header (index 6)
seventh_header = headers[6]

# 5. Finally, pull its `.v` array from ANDES
values = getattr(getattr(ssa, first_sheet), seventh_header).v

print(f""1st Sheet: '{first_sheet}'"")
print(f""7th Header: '{seventh_header}'"")
print(f""Values ({first_sheet}.{seventh_header}.v):\n"", values)


# Load the IEEE 39-bus workbook, list all sheets with their column headers, run a power-flow simulation, then retrieve and display the values of the 7th column from the first sheet using ANDES.
                Code Output: STDERR:
Traceback (most recent call last):
  File ""/home/chen541/ANDES_Data/PowerFlow_Specific/code_examples/powerflow-ex9.py"", line 8, in <module>
    all_sheets = pd.read_excel(path, sheet_name=None)
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/chen541/miniconda3/envs/power-simulation-env/lib/python3.12/site-packages/pandas/io/excel/_base.py"", line 495, in read_excel
    io = ExcelFile(
         ^^^^^^^^^^
  File ""/home/chen541/miniconda3/envs/power-simulation-env/lib/python3.12/site-packages/pandas/io/excel/_base.py"", line 1550, in __init__
    ext = inspect_excel_format(
          ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/chen541/miniconda3/envs/power-simulation-env/lib/python3.12/site-packages/pandas/io/excel/_base.py"", line 1402, in inspect_excel_format
    with get_handle(
         ^^^^^^^^^^^
  File ""/home/chen541/miniconda3/envs/power-simulation-env/lib/python3.12/site-packages/pandas/io/common.py"", line 882, in get_handle
    handle = open(handle, ioargs.mode)
             ^^^^^^^^^^^^^^^^^^^^^^^^^
FileNotFoundError: [Errno 2] No such file or directory: 'ieee39_base.xlsx'

ERROR conda.cli.main_run:execute(125): `conda run python code_examples/powerflow-ex9.py` failed. (See above for error)

Return Code: 1","The provided script is intended to do the following steps:

1. Use pandas to read an IEEE‐39‐bus case stored in “ieee39_base.xlsx”  
   – Load all sheets at once (`sheet_name=None`) into a dict of DataFrames  
   – Print each sheet’s name and its column headers  

2. Use the ANDES library to set up and solve a power‐flow (“PFlow”) on that same case  
   – `ssa = andes.load(path, setup=False, …)`  
   – `ssa.setup()`  
   – `ssa.PFlow.run()`  

3. Re‐open the workbook with `pd.ExcelFile`, parse the first sheet,  
   extract its 7th column header, and then pull the corresponding `.v` array (e.g. a vector of bus voltages or power injections) from the ANDES solution object (`ssa.<sheet>.<header>.v`)  

However, the script never gets past step 1. Pandas raises:

  FileNotFoundError: [Errno 2] No such file or directory: 'ieee39_base.xlsx'

This means that the Excel file “ieee39_base.xlsx” cannot be found in the working directory, so

• No sheet names or headers are printed  
• ANDES never actually loads or runs the power‐flow  
• No numerical arrays (voltage magnitudes, angles, etc.) are retrieved

To proceed, make sure the file “ieee39_base.xlsx” is present (or correct the path) so that pandas can open it. Once the file is found, you will see:

• A printout of sheet names (e.g. “Bus”, “Branch”, “Gen”, …) and their column lists.  
• After `ssa.PFlow.run()`, retrieval of the 7th column’s data vector from the first sheet (for example, bus voltage magnitudes if the 7th column is “V”)."
"Code: import andes
import numpy as np


ssa = andes.load(
    andes.get_case('ieee39/ieee39.xlsx'),
    setup=False,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

ssa.setup()
ssa.PFlow.run()


# Total number of generators
generators = np.concatenate((ssa.PV.pmin.v, ssa.Slack.pmin.v))

print(""Toal Generators:"", len(generators))


# Total number of load rows
loads = ssa.PQ.p0.v

print(""Total Loads:"", len(loads))


# Load the IEEE 39-bus case, run a power-flow simulation, and display the total number of generators and loads in the system.
                Code Output: STDOUT:
Toal Generators: 14
Total Loads: 19","The snippet does the following steps:  
1. Imports the IEEE-39 bus test case via the Andes API (with no automatic setup or output).  
2. Calls `ssa.setup()` and then runs a steady‐state power‐flow (`ssa.PFlow.run()`).  
3. Counts as “generators” every PV‐bus and the slack bus (by concatenating their minimum-power vectors), and as “loads” every PQ bus (using the PQ injection vector).  
4. Prints out those counts.  

Resulting output:  
• Total Generators: 14  
• Total Loads: 19  

In other words, for this IEEE-39 case you have 14 machine buses (including the slack) and 19 load buses defined in the power-flow model. This tells you, for instance, how many dynamic generator models and load models you’ll need if you proceed to a time-domain or small-signal stability study."
