Question,Answer
"Code: import andes
import os

script_dir = os.getcwd()
case = os.path.join(script_dir, 'ieee39_base.xlsx')

ssa = andes.load(case,
                setup=False,
                no_output=True,
                default_config=False)

# setup the case and call the power flow calculation
ssa.setup()
ssa.PFlow.run()

print(""PV Bus Active Power"", ssa.PV.p.v)
print(""PV Bus Reactive Power"", ssa.PV.q.v)
print(""Slack Bus Active Power"", ssa.Slack.p.v)
print(""Slack Bus Reactive Power"", ssa.Slack.q.v)
print(""Bus Voltages"", ssa.Bus.v.v)
print(""Bus Angles"", ssa.Bus.a.v)

print(""Phase Angle of the From Bus"", ssa.Line.a1.e)
print(""Shape of ssa.Line.a1.e:"", ssa.Line.a1.e.shape)
print(""ssa.Line.a1.e via get():"", ssa.Line.get(src='a1', idx= ssa.Line.idx.v, attr='e'))
print(""Phase Angle of the To Bus"", ssa.Line.a2.e)


# Run a power-flow simulation and display key results for the PV buses, Slack bus, system buses, and transmission lines.
                Code Output: STDERR:
error: file ""/home/chen541/ANDES_Data/PowerFlow_Specific/ieee39_base.xlsx"" does not exist.
No valid case found.
Traceback (most recent call last):
  File ""/home/chen541/ANDES_Data/PowerFlow_Specific/code_examples/powerflow-ex1.py"", line 13, in <module>
    ssa.setup()
    ^^^^^^^^^
AttributeError: 'NoneType' object has no attribute 'setup'

ERROR conda.cli.main_run:execute(125): `conda run python code_examples/powerflow-ex1.py` failed. (See above for error)

Return Code: 1","The snippet you provided is intended to

 1. import the ANDES power‐flow library  
 2. load an IEEE-39 bus test case from an Excel file  
 3. run a steady‐state power‐flow  
 4. print out  
    – each PV‐bus’s P and Q injections  
    – the slack bus’s P and Q injections  
    – all bus voltages and angles  
    – the “from” and “to” phase‐angles on each transmission line  

However, when you ran it you immediately got:

  • “error: file …/ieee39_base.xlsx does not exist. No valid case found.”  
  • ANDES returns None for `ssa`  
  • your call to `ssa.setup()` raises `AttributeError: 'NoneType' object has no attribute 'setup'`  

Because the Excel case file was not found, ANDES never loaded a model and the power‐flow never executed. No numerical results (bus P, Q, voltages, angles, or line angles) were produced.  

For an electrical engineer’s workflow, you should first make sure the path to your bus‐data file is correct and reachable by ANDES (or use an absolute path). Once the case loads successfully and `ssa` is not None, re-running will yield:

  – PV‐bus active/reactive power injections  
  – Slack‐bus active/reactive power injection  
  – All bus voltage magnitudes and angle profiles  
  – Transmission line “from” and “to” end phase‐angles  

Those outputs would then let you inspect generation dispatch, voltage profile, and angle differences across lines for the IEEE-39–bus system."
"Code: import andes
import os

script_dir = os.getcwd()
case = os.path.join(script_dir, 'ieee39_base.xlsx')

ssa = andes.load(case,
                setup=True,
                no_output=True,
                default_config=False)

# call the power flow calculation
ssa.PFlow.run()

print(""PV Bus Active Power"", ssa.PV.p.v)
print(""PV Bus Reactive Power"", ssa.PV.q.v)
print(""Slack Bus Active Power"", ssa.Slack.p.v)
print(""Slack Bus Reactive Power"", ssa.Slack.q.v)
print(""Bus Voltages"", ssa.Bus.v.v)
print(""Bus Angles"", ssa.Bus.a.v)


# Load the IEEE 39-bus case, run a power-flow simulation, and display key results for the PV buses, Slack bus, and all system buses.
                Code Output: STDERR:
error: file ""/home/chen541/ANDES_Data/PowerFlow_Specific/ieee39_base.xlsx"" does not exist.
No valid case found.
Traceback (most recent call last):
  File ""/home/chen541/ANDES_Data/PowerFlow_Specific/code_examples/powerflow-ex2.py"", line 13, in <module>
    ssa.PFlow.run()
    ^^^^^^^^^
AttributeError: 'NoneType' object has no attribute 'PFlow'

ERROR conda.cli.main_run:execute(125): `conda run python code_examples/powerflow-ex2.py` failed. (See above for error)

Return Code: 1","The supplied script is intended to

  1. Load the standard IEEE-39 (“New England”) base case from an Excel file (“ieee39_base.xlsx”) into the ANDES power‐flow engine  
  2. Run a full AC power‐flow  
  3. Print out  
     – Active/Reactive power at all PV buses  
     – Active/Reactive power at the Slack bus  
     – Voltage magnitudes and angles at every bus  

However, in this run the script fails immediately at step 1 because ANDES cannot find the Excel file. Specifically:

  • ANDES reports  
      error: file ""/home/chen541/ANDES_Data/PowerFlow_Specific/ieee39_base.xlsx"" does not exist.  
      No valid case found.

  • As a result, `andes.load(…)` returns None, so `ssa` is None  
  • The next line, `ssa.PFlow.run()`, raises  
      AttributeError: 'NoneType' object has no attribute 'PFlow'  

No power-flow solution is produced and no bus or generator quantities are computed.  

Recommended corrective actions for an electrical-engineering workflow:  
  • Verify that “ieee39_base.xlsx” is present in the working directory (or adjust the path)  
  • Confirm that ANDES can read the spreadsheet (correct sheet names, columns, units)  
  • Once the case loads properly, re‐running the script will yield:  
     – PV bus outputs (P and Q in MW and MVAr)  
     – Slack bus generation (P and Q)  
     – All bus voltages (per‐unit) and angles (degrees)  

These results are the standard deliverables of an AC power‐flow on the 39-bus test system."
"Code: import andes

ssa = andes.load(
    andes.get_case('ieee39/ieee39.xlsx'),
    setup=False,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

# Add new load
ssa.add(model=""PQ"", param_dict=dict(bus=2, 
                                    idx=""PQ_20"", 
                                    p0=0.5, 
                                    q0=0.2
                                    ))

# Add new generator
ssa.add(model=""PV"", param_dict=dict(bus=15, 
                                    idx='15', 
                                    p0=0.5, 
                                    q0=0.2,
                                    pmax=5,
                                    pmin=0,
                                    qmax=2,
                                    qmin=-2,
                                    v0=1.0,
                                    ))

ssa.setup()
ssa.PFlow.run()


# Load the IEEE 39-bus case, add a new load and a new PV generator, then set up and run a power-flow simulation.
                Code Output: No Output Generated","The script does the following (no printed output, but all results are stored internally in `ssa.PFlow.results`):

1. Load the IEEE 39-bus test system  
   • Uses `andes.get_case('ieee39/ieee39.xlsx')` with  
       – `setup=False` (delays Y-bus and model‐object creation until `ssa.setup()`)  
       – `no_output=True` (suppresses any automatic printouts)  
       – `default_config=False` (you are in full control of which models get instantiated)

2. Add a new PQ‐load at bus 2  
   • Real power P₀ = 0.5 pu, reactive power Q₀ = 0.2 pu  
   • Internal index/key “PQ_20”

3. Add a new PV generator at bus 15  
   • Initial setpoints P₀ = 0.5 pu, Q₀ = 0.2 pu, V₀ = 1.0 pu  
   • Operating limits: 0 ≤ P ≤ 5 pu, –2 ≤ Q ≤ 2 pu  

4. Build and run a Newton–Raphson power‐flow  
   • `ssa.setup()` assembles the network admittance matrix, instantiates bus, branch, machine objects  
   • `ssa.PFlow.run()` solves for bus voltages and generator reactive dispatch

Key points for an electrical engineer:  
– The PQ‐load injection at bus 2 and the PV‐unit injection at bus 15 will alter the operating point—check the voltage profile and line flows, particularly around those buses.  
– Generator Q‐output at bus 15 will be regulated within [–2, 2] pu to hold V = 1.0 pu.  
– All numerical results (bus voltages magnitudes/angles, branch flows, machine Q outputs, power mismatches) are available in Python via  
   • `ssa.PFlow.results.Vm` (bus voltages),  
   • `ssa.PFlow.results.Va` (bus angles),  
   • `ssa.PFlow.results.Pg`, `Qg` (generator injections),  
   • `ssa.PFlow.results.Pf`, `Qf` / `Pt`, `Qt` (branch flows).  
– No convergence messages were printed because of `no_output=True`; you can check `ssa.PFlow.success` (Boolean) or `ssa.PFlow.summary()` to verify convergence and residual levels."
"Code: import andes
import numpy as np

ssa = andes.load(
    andes.get_case('ieee39/ieee39.xlsx'),
    setup=False,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

ssa.setup()

# Scale up (perturb) the voltage states of both p0 and q0 by 10%. 
ssa.PQ.set(
            src='p0', 
            idx= ssa.PQ.idx.v, 
            attr='v',
            value=1.1 * ssa.PQ.p0.v
        )

ssa.PQ.set(
            src='q0', 
            idx= ssa.PQ.idx.v, 
            attr='v',
            value=1.1 * ssa.PQ.q0.v
        )

ssa.PFlow.run()

print(""PQ.p0.v After Scaling:"", ssa.PQ.p0.v)
print(""PQ.q0.v After Scaling:"", ssa.PQ.q0.v)


# Load the IEEE 39-bus case, scale the active and reactive power demands of all PQ loads by 10%, then run a power-flow simulation and display the updated values.

                Code Output: STDOUT:
PQ.p0.v After Scaling: [6.6    4.95   2.5718 5.742  1.32   3.52   3.6234 1.738  7.48   3.014
 2.7225 3.3946 2.464  1.529  3.091  2.266  3.1185 0.88   4.4   ]
PQ.q0.v After Scaling: [ 2.75    2.024   9.24    1.936   0.33    1.683   3.553   0.33    1.133
  1.265   0.9306 -1.0142  0.5192  0.187   0.8305  0.3036  1.3959  0.44
  2.75  ]","Here’s what the snippet does and what the printed arrays mean from an EE‐perspective:

1. It loads the IEEE 39-bus test case into ANDES, but with setup deferred (setup=False), so you have to call ssa.setup() before any simulation.  
2. It takes the default active-power demand vector p0 and reactive-power demand vector q0 at all PQ buses (there are 19 PQ buses in the 39-bus case) and multiplies each element by 1.1 (i.e. +10% load increase).  
3. It runs a power-flow (PFlow) solve with these bumped loads.  
4. It then prints out the new p0.v and q0.v vectors.

The two output lines are simply those 19-element vectors of P and Q, each entry in per-unit on the system base (usually MW and MVAr):

PQ.p0.v After Scaling (active demands):  
[6.6, 4.95, 2.5718, 5.742, 1.32, 3.52, 3.6234, 1.738, 7.48, 3.014,  
 2.7225, 3.3946, 2.464, 1.529, 3.091, 2.266, 3.1185, 0.88, 4.4]

PQ.q0.v After Scaling (reactive demands):  
[2.75, 2.024, 9.24, 1.936, 0.33, 1.683, 3.553, 0.33, 1.133, 1.265,  
 0.9306, –1.0142, 0.5192, 0.187, 0.8305, 0.3036, 1.3959, 0.44, 2.75]

• Each entry corresponds to one of the 19 PQ buses in the standard 39-bus layout.  
• All values are exactly 1.1× the original case demands (e.g. original P=6.0 → 6.6 pu).  
• Although a full power-flow run is performed, only the updated load vectors are displayed here. You could extend this to extract bus voltages, line flows, generator outputs, etc., under the 10% heavier load."
"Code: import andes
import numpy as np

ssa = andes.load(
    andes.get_case('ieee39/ieee39.xlsx'),
    setup=True,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

# Scale up (perturb) the voltage states of both p0 and q0 by 10%. 
ssa.PQ.set(
            src='p0', 
            idx= ssa.PQ.idx.v, 
            attr='v',
            value= 1.1 * ssa.PQ.p0.v
        )

ssa.PQ.set(
            src='q0', 
            idx= ssa.PQ.idx.v, 
            attr='v',
            value= 1.1 * ssa.PQ.q0.v
        )

# Change specific load based on idx
# Note: check the case (excel) file to get the correct idx
ssa.PQ.set(
            src='p0', 
            idx= ['PQ_1', 'PQ_10'], 
            attr='v',
            value= np.array([8, 4])
        )

ssa.PQ.set(
            src='q0', 
            idx= ['PQ_1', 'PQ_10'], 
            attr='v',
            value= np.array([2, 1])
        )

ssa.PFlow.run()

print(""PQ.p0.v After Change:"", ssa.PQ.p0.v)
print(""PQ.q0.v After Change:"", ssa.PQ.q0.v)


# Load the IEEE 39-bus case, increase all PQ load active and reactive powers by 10%, modify specific loads by index, then run a power-flow simulation and display the updated values.
                Code Output: STDOUT:
PQ.p0.v After Change: [8.     4.95   2.5718 5.742  1.32   3.52   3.6234 1.738  7.48   4.
 2.7225 3.3946 2.464  1.529  3.091  2.266  3.1185 0.88   4.4   ]
PQ.q0.v After Change: [ 2.      2.024   9.24    1.936   0.33    1.683   3.553   0.33    1.133
  1.      0.9306 -1.0142  0.5192  0.187   0.8305  0.3036  1.3959  0.44
  2.75  ]","The snippet demonstrates how to load the IEEE‐39 bus test case in Andes, programmatically perturb all PQ‐load injections by +10%, then override two specific loads (PQ_1 and PQ_10), run a full AC power‐flow, and finally inspect the updated active/reactive injections. Here are the key steps and results an EE engineer would care about:

1. Case loading  
   • andes.load(…setup=True, no_output=True, default_config=False) brings in the IEEE-39 network.  
2. Global 10% scaling of all PQ loads  
   • Active powers:  
     p0.v ← 1.1 · previous p0.v  
   • Reactive powers:  
     q0.v ← 1.1 · previous q0.v  
3. Override two loads by index  
   • Bus “PQ_1”: set p0.v=8.0 MW, q0.v=2.0 MVAr  
   • Bus “PQ_10”: set p0.v=4.0 MW, q0.v=1.0 MVAr  
4. Run AC power flow  
   • ssa.PFlow.run() solves for voltages/currents with the new injections.  
5. Final PQ injections (p0.v in MW, q0.v in MVAr) that were actually used in the power‐flow:  

   Active powers p0.v =  
   [ 8.0000, 4.9500, 2.5718, 5.7420, 1.3200, 3.5200,  
     3.6234, 1.7380, 7.4800, 4.0000, 2.7225, 3.3946,  
     2.4640, 1.5290, 3.0910, 2.2660, 3.1185, 0.8800, 4.4000 ]

   Reactive powers q0.v =  
   [ 2.0000, 2.0240, 9.2400, 1.9360, 0.3300, 1.6830,  
     3.5530, 0.3300, 1.1330, 1.0000, 0.9306, –1.0142,  
     0.5192, 0.1870, 0.8305, 0.3036, 1.3959, 0.4400, 2.7500 ]

Notes:  
– Entries 1 and 10 (zero‐based indices 0 and 9) correspond to your manual overrides.  
– The remaining entries are simply the original IEEE-39 load powers × 1.1.  
– These arrays (ssa.PQ.p0.v and ssa.PQ.q0.v) become the fixed injections for the subsequent power‐flow solution."
"Code: import andes
import numpy as np

ssa = andes.load(
    andes.get_case('ieee39/ieee39.xlsx'),
    setup=False,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

ssa.setup()

# change power reference of PV/Slack bus 

# PV bus
# Note: check the case (excel) file to get the correct idx
# If the idx is number, then use idx= [1, 2] instead of idx= ['1', '2']
ssa.PV.set(
            src='p0', 
            idx= [1, 2], 
            attr='v',
            value= np.array([5, 7])
        )

ssa.PV.set(
            src='q0', 
            idx= [1, 2], 
            attr='v',
            value= np.array([2, 2.5])
        )

ssa.PFlow.run()

print(""PV.p0.v After Change:"", ssa.PV.p0.v)
print(""PV.q0.v After Change:"", ssa.PV.q0.v)


# Load the IEEE 39-bus case, modify the active and reactive power setpoints for selected PV buses, then run a power-flow simulation and display the updated values.
                Code Output: STDOUT:
PV.p0.v After Change: [5.   7.   6.5  6.32 5.08 6.5  5.6  5.4  8.3  1.   1.5  2.   2.5 ]
PV.q0.v After Change: [2.      2.5     4.46722 2.4294  2.29094 3.61684 1.85829 1.5809  1.87815
 0.27003 0.27003 0.27003 0.27003]","The script does the following steps on the IEEE-39 bus case:

1. Loads the case via ANDES without automatically running the setup.  
2. Calls `ssa.setup()` to build the network model.  
3. For PV buses with internal indices 1 and 2 (corresponding to bus numbers “1” and “2” in the Excel file), it overrides the active‐power and reactive‐power set-points to  
   – P₀ = [5.0, 7.0] pu  
   – Q₀ = [2.0, 2.5] pu  
4. Runs a full AC power-flow (`ssa.PFlow.run()`), then prints out the entire P₀ and Q₀ vectors for all 13 PV buses in the case.

Output arrays (bus index ⇒ P₀, Q₀):  
1 ⇒ 5.00 pu, 2.00 pu  
2 ⇒ 7.00 pu, 2.50 pu  
3 ⇒ 6.50 pu, 4.46722 pu  
4 ⇒ 6.32 pu, 2.42940 pu  
5 ⇒ 5.08 pu, 2.29094 pu  
6 ⇒ 6.50 pu, 3.61684 pu  
7 ⇒ 5.60 pu, 1.85829 pu  
8 ⇒ 5.40 pu, 1.58090 pu  
9 ⇒ 8.30 pu, 1.87815 pu  
10 ⇒ 1.00 pu, 0.27003 pu  
11 ⇒ 1.50 pu, 0.27003 pu  
12 ⇒ 2.00 pu, 0.27003 pu  
13 ⇒ 2.50 pu, 0.27003 pu  

Key takeaways for an EE user:  
• You can selectively override PV-bus P and Q setpoints by index before running a load-flow.  
• The printed vectors confirm that only the specified indices (1 and 2) changed, while the other 11 PV buses retain their original defaults.  
• This workflow is useful when you need to study the impact of changing generator injections on system voltages, flows, or reactive margins in a standard test case."
"Code: import andes
import numpy as np

ssa = andes.load(
    andes.get_case('ieee39/ieee39.xlsx'),
    setup=True,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

# Slack bus
# Note: check the case (excel) file to get the correct src and idx
ssa.Slack.set(
            src='v0', 
            idx= 10, 
            attr='v',
            value= np.array([1])  # value= 1  works too
        )

ssa.Slack.set(
            src='a0', 
            idx= 10, 
            attr='v',
            value= np.array([0])  # value= 0  works too
        )

ssa.PFlow.run()

print(""Slack.v0.v After Update"", ssa.Slack.v0.v)
print(""Slack.a0.v After Update"", ssa.Slack.a0.v)


# Load the IEEE 39-bus case, update the voltage magnitude and angle setpoints for the Slack bus, then run a power-flow simulation and display the updated values.
                Code Output: STDOUT:
Slack.v0.v After Update [1.]
Slack.a0.v After Update [0.]","The snippet does the following steps, aimed at an IEEE-39 bus power‐flow in andes:

1. Load the IEEE-39 case (from the provided Excel file) into an andes “steady‐state” object (`ssa`), with custom configuration  
2. Specify bus-10 as the slack (swing) bus by setting:  
   • Voltage magnitude (v0.v) = 1.0 pu  
   • Voltage angle  (a0.v) = 0.0 rad  
3. Run the power‐flow (`ssa.PFlow.run()`)  
4. Print out the slack‐bus voltage magnitude and angle after the solve.

Output confirms that the slack‐bus remained at exactly the setpoints:
• Slack.v0.v After Update [1.]  
• Slack.a0.v After Update [0.]  

This shows that the slack‐bus voltage and angle are enforced by andes and retained through the power‐flow solution."
"Code: import andes

ssa = andes.load(
    andes.get_case('ieee39/ieee39.xlsx'),
    setup=False,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

print(""PQ Table of Case:"", ssa.PQ.as_df())

# Load the IEEE 39-bus case and display the PQ load table as a DataFrame.
                Code Output: STDOUT:
PQ Table of Case:        idx  u   name  bus     Vn     p0     q0  vmax  vmin  owner
uid                                                              
0     PQ_1  1   PQ_1    3  345.0  6.000  2.500   1.2   0.8      1
1     PQ_2  1   PQ_2    4  345.0  4.500  1.840   1.2   0.8      1
2     PQ_3  1   PQ_3    7  345.0  2.338  8.400   1.2   0.8      1
3     PQ_4  1   PQ_4    8  345.0  5.220  1.760   1.2   0.8      1
4     PQ_5  1   PQ_5   12  138.0  1.200  0.300   1.2   0.8      1
5     PQ_6  1   PQ_6   15  345.0  3.200  1.530   1.2   0.8      1
6     PQ_7  1   PQ_7   16  345.0  3.294  3.230   1.2   0.8      1
7     PQ_8  1   PQ_8   18  345.0  1.580  0.300   1.2   0.8      1
8     PQ_9  1   PQ_9   20  138.0  6.800  1.030   1.2   0.8      1
9    PQ_10  1  PQ_10   21  345.0  2.740  1.150   1.2   0.8      1
10   PQ_11  1  PQ_11   23  345.0  2.475  0.846   1.2   0.8      1
11   PQ_12  1  PQ_12   24  345.0  3.086 -0.922   1.2   0.8      1
12   PQ_13  1  PQ_13   25  345.0  2.240  0.472   1.2   0.8      1
13   PQ_14  1  PQ_14   26  345.0  1.390  0.170   1.2   0.8      1
14   PQ_15  1  PQ_15   27  345.0  2.810  0.755   1.2   0.8      1
15   PQ_16  1  PQ_16   28  345.0  2.060  0.276   1.2   0.8      1
16   PQ_17  1  PQ_17   29  345.0  2.835  1.269   1.2   0.8      1
17   PQ_18  1  PQ_18   31   34.5  0.800  0.400   1.2   0.8      1
18   PQ_19  1  PQ_19   39  345.0  4.000  2.500   1.2   0.8      1","The snippet uses ANDES to load the IEEE-39 bus test case (from the Excel file) but postpones the standard “setup” and any power-flow solve. It then prints out the raw PQ load table as a pandas DataFrame. Key points for an EE reader:

 • Configuration  
   – `setup=False` means no bus/admittance matrix or device modeling has yet been built; you would normally follow with `ssa.setup()` (and then a power‐flow or dynamic simulation).  
   – `no_output=True` silences ANDES’s built-in reporting.  
   – `default_config=False` prevents any default generator/load assignments beyond what’s in the spreadsheet.  

 • PQ Table contents (19 loads)  
   – idx/name/bus: identifies each load (PQ_1 … PQ_19) and its bus number.  
   – Vn: nominal voltage level (mostly 345 kV; buses 12 & 20 at 138 kV; bus 31 at 34.5 kV).  
   – p0, q0: active/reactive power injections (in per-unit or MW/MVAr depending on your base). The largest load is 6.8 (≈PQ_9 at bus 20) and the smallest is 0.8 (bus 31). Note PQ_12 has q0=–0.922, indicating net reactive injection rather than consumption.  
   – vmax/vmin: voltage limits (±20% around nominal: 1.2 pu / 0.8 pu).  
   – owner: a customer or utility ID (all set to 1 here).  

This table is exactly the list of static loads that will be placed on those buses once you call `ssa.setup()` and run your load‐flow or dynamic studies."
"Code: import andes
import pandas as pd


path = ""ieee39_base.xlsx""

# Load all sheets at once as a dict of DataFrames
all_sheets = pd.read_excel(path, sheet_name=None)

print(""Workbook Sheets and Their Column Headers:"")
for sheet_name, df in all_sheets.items():
    print(f""Sheet: {sheet_name}"")
    print(f""Columns: {list(df.columns)}"")
    print(""\n"")


ssa = andes.load(
    path,
    setup=False,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

ssa.setup()
ssa.PFlow.run()


# 1. Load the workbook and list sheets
xls = pd.ExcelFile(""ieee39_base.xlsx"")
sheet_names = xls.sheet_names
first_sheet = sheet_names[0]

# 2. Parse the first sheet to get its column headers
df0 = xls.parse(first_sheet)
headers = df0.columns.tolist()

# 3. Make sure there are at least 7 columns
if len(headers) < 7:
    raise ValueError(f""Sheet '{first_sheet}' Only Has {len(headers)} Columns -- Can't Get the 7th Header"")

# 4. Get the 7th header (index 6)
seventh_header = headers[6]

# 5. Finally, pull its `.v` array from ANDES
values = getattr(getattr(ssa, first_sheet), seventh_header).v

print(f""1st Sheet: '{first_sheet}'"")
print(f""7th Header: '{seventh_header}'"")
print(f""Values ({first_sheet}.{seventh_header}.v):\n"", values)


# Load the IEEE 39-bus workbook, list all sheets with their column headers, run a power-flow simulation, then retrieve and display the values of the 7th column from the first sheet using ANDES.
                Code Output: STDERR:
Traceback (most recent call last):
  File ""/home/chen541/ANDES_Data/PowerFlow_Specific/code_examples/powerflow-ex9.py"", line 8, in <module>
    all_sheets = pd.read_excel(path, sheet_name=None)
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/chen541/miniconda3/envs/power-simulation-env/lib/python3.12/site-packages/pandas/io/excel/_base.py"", line 495, in read_excel
    io = ExcelFile(
         ^^^^^^^^^^
  File ""/home/chen541/miniconda3/envs/power-simulation-env/lib/python3.12/site-packages/pandas/io/excel/_base.py"", line 1550, in __init__
    ext = inspect_excel_format(
          ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/chen541/miniconda3/envs/power-simulation-env/lib/python3.12/site-packages/pandas/io/excel/_base.py"", line 1402, in inspect_excel_format
    with get_handle(
         ^^^^^^^^^^^
  File ""/home/chen541/miniconda3/envs/power-simulation-env/lib/python3.12/site-packages/pandas/io/common.py"", line 882, in get_handle
    handle = open(handle, ioargs.mode)
             ^^^^^^^^^^^^^^^^^^^^^^^^^
FileNotFoundError: [Errno 2] No such file or directory: 'ieee39_base.xlsx'

ERROR conda.cli.main_run:execute(125): `conda run python code_examples/powerflow-ex9.py` failed. (See above for error)

Return Code: 1","Here’s what the script is doing and what happened when it ran:

1. Purpose of the Code  
   - Load an IEEE-39 bus data workbook (“ieee39_base.xlsx”) into pandas and ANDES.  
   - List every sheet name and its column headers.  
   - Initialize ANDES without outputs, set it up, and run a power‐flow.  
   - Parse the first sheet again in pandas, grab its 7th column header, and then pull that variable’s `.v` array from the ANDES steady-state model.

2. Key Steps in the Script  
   a. `pd.read_excel(path, sheet_name=None)` to load all sheets into a dict of DataFrames, then print each sheet’s name and columns.  
   b. `andes.load(…)` to load the same file into an ANDES steady-state analysis object (`ssa`), followed by `ssa.setup()` and `ssa.PFlow.run()`.  
   c. Reopen the Excel file via `pd.ExcelFile`, parse the first sheet, ensure at least 7 columns exist, extract the 7th header (Python index 6), and then retrieve the corresponding ANDES variable’s value vector (`.v`) from `ssa`.

3. What Actually Happened  
   - The very first pandas call to open “ieee39_base.xlsx” failed with FileNotFoundError:  
     “No such file or directory: 'ieee39_base.xlsx'”  
   - Because pandas could not find the workbook, nothing downstream (sheet listing, ANDES setup or power-flow, extraction of the 7th column’s values) could execute.

4. Implications & Next Steps for an EE User  
   - Make sure the Excel file is in the working directory of the script or provide an absolute path.  
   - Verify the file name—spelling, extension, or location—so that pandas (and ANDES) can load it.  
   - Once the workbook loads successfully, you’ll get:  
     • A printout of every sheet and its columns.  
     • The ANDES power-flow result in memory.  
     • Extraction of the 7th column’s numerical values from the first sheet for further analysis."
"Code: import andes
import numpy as np


ssa = andes.load(
    andes.get_case('ieee39/ieee39.xlsx'),
    setup=False,     # If setup=False, need to call ss.setup() before running the simulation
    no_output=True, 
    default_config=False
)

ssa.setup()
ssa.PFlow.run()


# Total number of generators
generators = np.concatenate((ssa.PV.pmin.v, ssa.Slack.pmin.v))

print(""Toal Generators:"", len(generators))


# Total number of load rows
loads = ssa.PQ.p0.v

print(""Total Loads:"", len(loads))


# Load the IEEE 39-bus case, run a power-flow simulation, and display the total number of generators and loads in the system.
                Code Output: STDOUT:
Toal Generators: 14
Total Loads: 19","The script performs the following steps:  
1. Uses ANDES to load the IEEE-39 bus test case (from its Excel file) with no automatic setup or output.  
2. Calls `ssa.setup()` and then runs a full power-flow (`ssa.PFlow.run()`).  
3. Builds two arrays of “generator” devices by concatenating:  
   – All PV‐type machines (`ssa.PV.pmin.v`)  
   – The slack bus machine(s) (`ssa.Slack.pmin.v`)  
   and then takes the length of that combined array.  
4. Reads the PQ‐load vector (`ssa.PQ.p0.v`) and reports its length.  

Resulting counts:  
– Total number of generating units (PV + slack): 14  
– Total number of load injections (PQ buses): 19  

In other words, in this ANDES‐modeled IEEE 39-bus case you have 14 voltage-controlled machines (including the slack) supplying a system that has 19 distinct load “nodes.”"
