Function Description,Function Name,Function Parameters
System class for power system data and methods.,andes.system,
Variable package with classes for numerical DAE.,andes.variables,
Return an andes.system.System object for the ieee14_linetrip.xlsx as an example.,andes.system.example,"setup,no_output,**kwargs"
"Point NumPy arrays without OWNDATA (termed ""view arrays"" here) to the source array.",andes.system.fix_view_arrays,system
"Helper function to import generated pycode in the following priority: a user-provided path from CLI, ~/.andes/pycode, or <andes_package_root>/pycode.",andes.system.import_pycode,user_pycode_path
Load config from an rc-formatted file.,andes.system.load_config_rc,conf_path
Helper function for reloading an existing module and its submodules.,andes.system.reload_submodules,module_name
Storage class for existing models.,andes.system.ExistingModels,
System contains models and routines for modeling and simulation.,andes.system.System,"case,name,config,config_path,default_config,options,no_undill,autogen_stale,**kwargs"
Add a device instance for an existing model. This method calls the add method of model and registers the device idx to group.,andes.system.System.add,"model,param_dict,**kwargs"
Return system data as a dict where the keys are model names and values are dicts. Each dict has parameter names as keys and corresponding data in an array as values.,andes.system.System.as_dict,"vin,skip_empty"
Perform per unit value conversion.,andes.system.System.calc_pu_coeff,
Call methods on the given models.,andes.system.System.call_models,"method,models,*args,**kwargs"
Collect config data from models.,andes.system.System.collect_config,
Collect indices into BackRef for all models.,andes.system.System.collect_ref,
Perform connectivity check for system.,andes.system.System.connectivity,info
Clear equation arrays in DAE and model variables.,andes.system.System.e_clear,models
Call the differential equation update method for models in sequence.,andes.system.System.f_update,models
"Collect equation values into the DAE arrays. Additionally, resets differential equations associated with variables pegged by anti-windup limiters.",andes.system.System.fg_to_dae,
Add dependent devices for all model based on DeviceFinder.,andes.system.System.find_devices,
Find models with at least one of the flags as True.,andes.system.System.find_models,"flag,skip_zero"
Set an ipysheet object back to model.,andes.system.System.from_ipysheet,"model,sheet,vin"
Reset algebraic mismatches for islanded buses.,andes.system.System.g_islands,
Call the algebraic equation update method for models in sequence.,andes.system.System.g_update,models
Get all discrete status flags in a numpy array. Values are written to dae.z in place.,andes.system.System.get_z,models
Import all groups classes defined in models/group.py.,andes.system.System.import_groups,
Import and instantiate models as System member attributes.,andes.system.System.import_models,
Import routines as defined in routines/__init__.py.,andes.system.System.import_routines,
Initialize the variables for each of the specified models.,andes.system.System.init,"models,routine"
Set gy diagonals to eps for a and v variables of islanded buses.,andes.system.System.j_islands,
Call the Jacobian update method for models in sequence.,andes.system.System.j_update,"models,info"
Update equation-dependent limiter discrete components by calling l_check_eq of models. This function must be called after differential equation updates.,andes.system.System.l_update_eq,"models,init,niter"
Update variable-based limiter discrete states by calling l_update_var of models. This function must be called before any equation evaluation.,andes.system.System.l_update_var,"models,niter,err"
Retrieve values for ExtParam for the given models.,andes.system.System.link_ext_param,model
Trigger precompilation for the given models.,andes.system.System.precompile,"models,nomp,ncpu"
Generate numerical functions from symbolically defined models.,andes.system.System.prepare,"quick,incremental,models,nomp,ncpu"
Reload a new case in the same System object.,andes.system.System.reload,"case,**kwargs"
Remove PyCapsule objects in solvers.,andes.system.System.remove_pycapsule,
Reset to the state after reading data and setup (before power flow).,andes.system.System.reset,force
Update variable services by calling s_update_post of models. This function is called at the end of System.init().,andes.system.System.s_update_post,models
Update variable services by calling s_update_var of models. This function must be called before any equation evaluation after limiter update function l_update_var.,andes.system.System.s_update_var,models
"Save all system, model, and routine configurations to an rc-formatted file.",andes.system.System.save_config,"file_path,overwrite"
Set addresses for differential and algebraic variables.,andes.system.System.set_address,models
Set configuration for the System object. Config for models and routines are passed directly to their constructors.,andes.system.System.set_config,config
"Set variable names for differential and algebraic variables, right-hand side of external equations, and discrete flags.",andes.system.System.set_dae_names,models
Process and store the sub-indices for outputs in dae.xy.,andes.system.System.set_output_subidx,models
Set arrays (v and e) for internal variables to access dae arrays in place.,andes.system.System.set_var_arrays,"models,inplace,alloc"
Set up system for studies.,andes.system.System.setup,
