model_label,case_family,case_source,scenario_pass_rate,avg_conversation_score
Base OpenAI,ieee14,builtin,0.0,48.68
Base OpenAI,ieee14,uploaded,0.0,47.99
Base OpenAI,ieee39,builtin,0.0,45.38
Base OpenAI,ieee39,uploaded,0.0,46.5
Base OpenAI,kundur,builtin,0.0,43.24
Base OpenAI,kundur,uploaded,0.0,48.0
Base OpenAI,pjm5,builtin,0.0,43.72
Base OpenAI,pjm5,uploaded,0.0,45.95
Fine-tuned,ieee14,builtin,85.71,93.93
Fine-tuned,ieee14,uploaded,71.43,88.48
Fine-tuned,ieee39,builtin,64.29,85.08
Fine-tuned,ieee39,uploaded,42.86,85.41
Fine-tuned,kundur,builtin,57.14,80.45
Fine-tuned,kundur,uploaded,50.0,87.19
Fine-tuned,pjm5,builtin,37.5,84.76
Fine-tuned,pjm5,uploaded,37.5,84.76
Fine-tuned + RAG,ieee14,builtin,100.0,100.0
Fine-tuned + RAG,ieee14,uploaded,100.0,100.0
Fine-tuned + RAG,ieee39,builtin,100.0,100.0
Fine-tuned + RAG,ieee39,uploaded,100.0,100.0
Fine-tuned + RAG,kundur,builtin,100.0,100.0
Fine-tuned + RAG,kundur,uploaded,100.0,100.0
Fine-tuned + RAG,pjm5,builtin,100.0,100.0
Fine-tuned + RAG,pjm5,uploaded,100.0,100.0
RAG,ieee14,builtin,100.0,100.0
RAG,ieee14,uploaded,100.0,100.0
RAG,ieee39,builtin,100.0,100.0
RAG,ieee39,uploaded,100.0,100.0
RAG,kundur,builtin,100.0,100.0
RAG,kundur,uploaded,100.0,100.0
RAG,pjm5,builtin,100.0,100.0
RAG,pjm5,uploaded,100.0,100.0
